genre,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,max_improvement
Movie,Randy Newman,15,0.971,0.17,272160,0.0228,0.904,D,0.191,-29.969,Minor,0.0415,134.377,4/4,0.0362,13.024738665575134
Reggae,Gregory Isaacs,29,0.0269,0.784,280027,0.469,0.0141,A,0.115,-7.795,Minor,0.281,144.404,4/4,0.43,16.172249431532425
Comedy,Wyatt Cenac,40,0.87,0.682,63200,0.868,0.0,D#,0.95,-6.373,Minor,0.946,60.537,4/4,0.747,6.97859927718693
Jazz,Zoot Sims,45,0.9,0.572,328400,0.202,0.632,D,0.133,-15.027,Minor,0.0399,128.624,4/4,0.362,7.400033776203368
Electronic,Dillon Francis,29,0.0136,0.591,227893,0.9,2.07e-06,G,0.285,-4.293,Minor,0.0872,127.931,4/4,0.284,15.22850977710712
Folk,The Civil Wars,59,0.85,0.254,149427,0.349,2.95e-05,E,0.234,-10.02,Minor,0.0379,170.214,3/4,0.303,6.281568490716158
Folk,Erato,55,0.891,0.404,151619,0.167,0.0,A,0.103,-12.463,Minor,0.0604,202.996,4/4,0.298,8.290825743616987
Hip-Hop,Rejjie Snow,51,0.0359,0.72,188293,0.562,0.0,D,0.126,-7.642,Major,0.0367,98.943,4/4,0.393,17.337934984306926
Reggae,Daddy Yankee,31,0.108,0.899,193907,0.753,0.0,B,0.174,-5.792,Minor,0.157,107.363,4/4,0.756,11.27620234090209
Anime,Monkey Majik,21,0.941,0.577,246680,0.343,5.3e-05,E,0.73,-11.19,Minor,0.0335,80.053,4/4,0.7,13.043155020693185
Comedy,Monty Python,9,0.484,0.666,102347,0.28,0.0,G,0.153,-14.667,Major,0.852,97.969,3/4,0.488,14.110958147081272
Dance,PSY,69,0.0055,0.736,219493,0.939,0.0,B,0.0905,-2.812,Minor,0.284,132.07,4/4,0.761,3.3966493962170197
Anime,Nobuo Uematsu,23,0.348,0.411,75693,0.482,0.732,F#,0.0952,-8.245,Major,0.0305,129.93,4/4,0.559,10.360733136969897
Jazz,Damu The Fudgemunk,34,0.0524,0.651,302720,0.783,0.797,E,0.415,-4.453,Minor,0.0249,88.297,4/4,0.244,10.039798652641663
Indie,MARINA,53,0.374,0.765,254147,0.767,2e-05,C,0.0949,-8.125,Major,0.0301,120.418,4/4,0.552,13.14453091825895
Classical,Richard Strauss,1,0.982,0.232,342760,0.0273,8.86e-05,E,0.363,-27.401,Major,0.0514,75.984,3/4,0.0883,28.474949579959837
Country,Carrie Underwood,44,0.0514,0.622,249893,0.804,0.0,G#,0.046,-4.845,Major,0.0429,96.969,4/4,0.537,9.554057951401044
Electronic,The Charlatans,43,0.000858,0.553,291867,0.946,0.0488,A,0.105,-4.583,Major,0.0331,101.436,4/4,0.909,7.336606161243812
Classical,Johann Sebastian Bach,42,0.981,0.459,147427,0.0642,0.837,D#,0.078,-23.683,Minor,0.0505,116.413,4/4,0.224,6.702481412821921
Children's Music,Kimbo Children's Music,0,0.99,0.552,134440,0.111,0.892,A#,0.0864,-16.925,Major,0.0514,123.586,4/4,0.576,17.050222021293305
Ska,Lagwagon,36,7.83e-05,0.37,193600,0.936,2.93e-06,B,0.427,-4.44,Major,0.049,93.764,4/4,0.53,4.671636367570112
World,Leeland,30,0.00587,0.448,260440,0.777,1.09e-05,D,0.0903,-6.585,Major,0.0601,136.065,4/4,0.372,14.40485457884725
Anime,The Winking Owl,20,0.0188,0.554,206500,0.96,0.0,C,0.355,-2.301,Major,0.0568,99.935,4/4,0.491,11.739267689384663
Blues,Marvin Sease,24,0.0599,0.901,233720,0.587,5.27e-05,F#,0.0596,-8.07,Major,0.0503,102.005,4/4,0.836,20.448854627824428
Electronic,Little Dragon,38,0.105,0.794,210413,0.524,0.37,A#,0.0629,-10.173,Minor,0.0441,142.823,4/4,0.803,10.082990211510504
Jazz,Joe Corfield,47,0.8,0.745,123000,0.265,0.959,B,0.0717,-10.678,Major,0.0708,88.477,4/4,0.422,3.91448678583153
Jazz,Thievery Corporation,53,0.191,0.6,236960,0.432,0.0471,E,0.114,-9.673,Minor,0.05,71.974,4/4,0.276,7.118781651830368
Folk,The 5th Dimension,48,0.146,0.3,289200,0.601,3.46e-05,G,0.0761,-8.549,Major,0.0357,118.066,4/4,0.426,11.957424426057775
Indie,RKCB,55,0.0543,0.67,242830,0.572,0.00294,D,0.188,-9.29,Minor,0.0732,106.016,4/4,0.209,8.881892411959145
R&B,Christina Aguilera,51,0.356,0.658,254493,0.438,2.61e-05,D,0.329,-7.089,Minor,0.0645,121.888,3/4,0.151,13.715863088081838
Soundtrack,Danny Elfman,37,0.921,0.397,174747,0.268,0.924,F,0.0817,-15.606,Major,0.0317,99.998,4/4,0.035,10.204872977948098
Pop,"Tyler, The Creator",76,0.308,0.538,182493,0.612,0.0,D,0.213,-6.02,Major,0.424,168.197,4/4,0.684,3.2340359077407896
Hip-Hop,Frank Ocean,74,0.765,0.572,249668,0.209,0.0,G#,0.356,-10.413,Major,0.0313,80.069,4/4,0.446,5.619519268313501
Comedy,Al Madrigal,15,0.834,0.651,121902,0.599,0.0,F#,0.687,-12.097,Major,0.922,97.382,5/4,0.827,12.069315259879458
Classical,Camille Saint-Saëns,38,0.993,0.137,162476,0.0279,0.969,G,0.108,-25.642,Major,0.0418,168.159,4/4,0.0797,4.541776875837715
Blues,Stevie Ray Vaughan,34,0.0473,0.189,500560,0.713,0.19,F#,0.93,-9.488,Major,0.0541,147.566,3/4,0.498,13.601183436582568
Comedy,Jeff Foxworthy,19,0.902,0.554,126787,0.628,0.0,D,0.941,-12.102,Major,0.953,93.175,3/4,0.403,9.49298621497037
Rap,G-Eazy,64,0.0036,0.607,180333,0.783,0.0,A,0.216,-6.891,Major,0.139,87.026,4/4,0.182,10.586791820760075
Pop,G-Eazy,60,0.0719,0.558,180360,0.778,0.0,D#,0.0905,-4.03,Minor,0.274,88.125,4/4,0.294,10.901799278858599
Comedy,Amy Schumer,30,0.831,0.505,183960,0.791,0.0,A,0.945,-11.725,Major,0.938,113.072,4/4,0.378,6.154229065578126
Electronic,Bonobo,33,0.426,0.714,246073,0.511,0.887,G,0.625,-11.793,Minor,0.0575,100.017,4/4,0.462,10.864856460589172
Anime,Rie fu,23,0.521,0.481,225741,0.545,0.1,D,0.108,-8.071,Minor,0.032,136.951,3/4,0.377,9.783501495504742
R&B,Sabrina Claudio,63,0.732,0.476,283236,0.44,0.023,A,0.0773,-8.198,Minor,0.0371,149.389,3/4,0.161,3.8238651105392805
Anime,Maaya Uchida,23,0.0555,0.574,332040,0.959,0.0,G,0.0514,-2.801,Major,0.0868,90.028,4/4,0.677,12.02189973428508
Indie,Mumm-ra,52,0.024,0.463,205213,0.736,0.0,E,0.293,-4.341,Major,0.0329,131.594,4/4,0.374,9.217952254086265
Dance,Arcade Fire,54,0.315,0.296,287240,0.502,0.0551,C,0.229,-8.653,Minor,0.0336,81.045,4/4,0.313,10.33947730623848
Dance,Flo Rida,77,0.0215,0.688,192191,0.702,0.0,G,0.128,-4.792,Minor,0.0499,94.006,4/4,0.74,-0.35681869068291405
Pop,Glass Animals,60,0.406,0.639,254640,0.347,0.000268,C#,0.215,-12.322,Minor,0.0421,72.978,4/4,0.247,12.157191712094564
Alternative,Chris Cornell,54,0.731,0.449,277733,0.385,0.0,C,0.958,-4.878,Major,0.0301,123.298,4/4,0.179,5.210420077561953
Reggae,Capleton,32,0.117,0.647,235707,0.812,0.0,G#,0.0773,-4.66,Minor,0.327,91.343,4/4,0.636,13.750624718610062
Pop,JoJo,74,0.0183,0.446,221573,0.77,1.07e-06,F#,0.122,-6.121,Minor,0.0549,82.765,4/4,0.717,5.510672987747323
Rock,Arctic Monkeys,54,0.000566,0.455,331200,0.881,6.06e-05,B,0.11,-5.587,Major,0.0401,137.949,4/4,0.201,9.800146146628842
Country,Wilco,51,0.317,0.467,418200,0.536,0.0119,E,0.123,-10.906,Major,0.0268,85.958,4/4,0.429,6.043972762511075
Jazz,El Michels Affair,33,0.00504,0.779,219960,0.52,0.736,C,0.162,-9.064,Major,0.0394,107.056,4/4,0.476,8.712463000521389
Alternative,Quasimoto,42,0.483,0.547,171893,0.684,5.23e-05,A,0.237,-7.683,Major,0.168,80.612,4/4,0.673,9.965861540691032
Reggae,Ocean Alley,45,0.000435,0.484,345838,0.792,0.00557,F,0.127,-5.967,Minor,0.043,120.063,4/4,0.74,6.496394999559257
Electronic,Weval,48,0.0355,0.603,322000,0.56,0.805,F,0.422,-10.381,Minor,0.0448,111.005,4/4,0.11,9.727943386259335
Hip-Hop,Russ,53,0.497,0.624,202553,0.552,2.16e-05,G,0.558,-6.84,Major,0.38,128.012,3/4,0.498,12.567699733302524
Dance,Backstreet Boys,73,0.147,0.716,179747,0.533,0.0,D#,0.0913,-5.439,Major,0.0283,91.995,4/4,0.502,3.655832828457214
Country,Jon Pardi,51,0.0585,0.47,232467,0.772,0.0,G,0.403,-3.441,Major,0.0334,134.055,4/4,0.331,8.472557650452352
R&B,Pia Mia,54,0.0334,0.681,170667,0.641,0.0,D,0.107,-5.06,Major,0.0371,90.003,4/4,0.415,7.383820829103489
Soundtrack,Blake Neely,29,0.603,0.513,124120,0.367,0.648,C#,0.181,-15.938,Major,0.0322,129.968,4/4,0.073,12.804104289145817
Soundtrack,John Ottman,34,0.839,0.0817,237640,0.246,0.919,C,0.11,-17.824,Major,0.0401,82.72,4/4,0.0367,11.412549596580538
Electronic,Nina Kraviz,40,0.00437,0.864,318049,0.867,0.891,F#,0.188,-12.281,Major,0.0524,128.01,4/4,0.542,8.612913556243846
Alternative,Frank Ocean,64,0.269,0.592,304760,0.423,0.0,D#,0.207,-8.184,Minor,0.0904,60.014,4/4,0.607,10.41429609288029
Ska,The Bouncing Souls,23,0.0931,0.459,79093,0.926,1.72e-06,E,0.221,-6.472,Minor,0.321,123.666,4/4,0.367,10.756836577569226
Anime,Rena Uehara,17,0.00723,0.487,305627,0.794,0.000125,C#,0.101,-5.889,Minor,0.0425,134.972,4/4,0.52,13.19414339096462
R&B,Frank Ocean,56,0.0606,0.731,200240,0.772,0.0,G,0.212,-4.817,Minor,0.192,101.979,4/4,0.592,9.366875873766803
Rap,Lil Mosey,87,0.462,0.699,165000,0.558,0.0,B,0.116,-7.622,Major,0.0603,79.992,4/4,0.493,3.44787034983595
Comedy,Comedian Bob Marley,12,0.895,0.606,167613,0.303,0.0,G#,0.966,-18.875,Major,0.958,81.475,1/4,0.543,9.670684871961114
Country,Carrie Underwood,48,0.643,0.423,257893,0.522,0.0,G#,0.122,-3.849,Major,0.029,147.745,4/4,0.236,8.339760432502658
World,Jeremy Riddle,34,0.0826,0.159,333575,0.438,0.0,C,0.045,-8.349,Major,0.0296,67.246,4/4,0.155,9.049555590160653
Country,Johnny Cash,46,0.648,0.512,231867,0.501,0.0012,C,0.235,-8.031,Major,0.0276,93.746,4/4,0.505,9.2456924672251
Comedy,Eddie Izzard,14,0.952,0.468,506733,0.732,0.0,C#,0.715,-13.563,Major,0.962,67.552,3/4,0.133,6.682752950568896
Movie,Emmanuel Moire,22,0.332,0.391,236400,0.675,0.0,A,0.0929,-5.773,Major,0.0275,156.019,4/4,0.369,10.511615779075179
Classical,Ludwig van Beethoven,28,0.993,0.478,90760,0.0291,0.955,C,0.115,-34.769,Major,0.0553,67.692,1/4,0.128,6.220987384751564
Dance,Nick Jonas,61,0.0488,0.432,167693,0.656,0.0,F,0.256,-4.669,Minor,0.428,199.232,4/4,0.66,8.109591261152636
Anime,KANA-BOON,48,0.00172,0.368,221053,0.949,0.000151,C#,0.29,-3.28,Minor,0.122,194.904,4/4,0.423,1.530889753631931
Comedy,Tommy Ryman,15,0.843,0.607,98119,0.677,0.0,D#,0.694,-8.471,Major,0.911,83.029,3/4,0.727,9.701924963390965
Children's Music,The Union Underground,53,0.00607,0.484,204293,0.924,0.0184,A,0.218,-5.119,Major,0.0994,90.475,4/4,0.557,7.020439988802686
Soundtrack,Patrick Doyle,31,0.551,0.254,76827,0.362,0.641,G,0.0997,-14.621,Major,0.0336,141.566,4/4,0.221,13.078460712415835
Soul,Charles Bradley,51,0.206,0.736,208418,0.528,0.0245,F#,0.0796,-7.821,Minor,0.0359,94.88,4/4,0.759,9.627706502291522
Jazz,Car Bomb,33,0.000146,0.15,262725,0.946,0.212,E,0.116,-4.478,Major,0.09,85.668,4/4,0.331,9.88785465661686
Reggae,Yomo,23,0.095,0.7,220344,0.524,0.0,F#,0.349,-7.503,Minor,0.3,81.898,4/4,0.638,10.15783215746974
Dance,Kesha,60,4.14e-05,0.729,215200,0.675,0.00126,F,0.0867,-5.292,Minor,0.0286,125.036,4/4,0.74,7.066482944456797
Indie,Iron & Wine,49,0.965,0.245,267120,0.242,0.00833,E,0.271,-12.963,Major,0.0318,135.714,3/4,0.138,9.901598192486654
Anime,TrySail,25,0.00685,0.499,298533,0.894,0.000196,G#,0.138,-4.294,Major,0.104,164.098,3/4,0.566,13.822186617781497
Blues,The White Stripes,37,0.65,0.601,138893,0.726,0.0,A,0.281,-6.611,Major,0.0399,135.091,4/4,0.515,10.11169382197046
Indie,Vampire Weekend,46,0.0827,0.615,150240,0.642,5.08e-06,C,0.385,-8.334,Major,0.321,164.464,4/4,0.646,11.46099161149696
Country,Keith Urban,40,0.00471,0.644,239400,0.949,0.0,D,0.362,-4.323,Major,0.0434,130.016,4/4,0.889,12.997932881215412
Rap,Kid Cudi,74,0.0103,0.725,373627,0.688,0.00386,C,0.0494,-5.233,Major,0.0546,128.004,4/4,0.609,3.757980490256846
Ska,Descendents,34,0.00438,0.551,74027,0.995,0.0,B,0.399,-2.165,Minor,0.114,100.09,4/4,0.318,9.492368000418425
Indie,Arcade Fire,60,0.0647,0.282,288333,0.738,0.0142,C,0.29,-5.566,Major,0.0324,126.914,4/4,0.211,7.181461390291929
Dance,Enrique Iglesias,49,0.00757,0.66,214760,0.936,0.0,B,0.116,-3.547,Major,0.066,133.047,4/4,0.751,13.579489437686652
Country,Cross Canadian Ragweed,39,0.257,0.61,202933,0.727,2.09e-06,F#,0.164,-7.114,Minor,0.0336,98.443,4/4,0.609,12.21022809208074
Movie,Jodi Benson,31,0.953,0.316,211680,0.0682,0.00126,F,0.064,-19.544,Major,0.0399,99.016,3/4,0.28,6.50283722811574
Country,Lady Antebellum,44,0.578,0.506,226013,0.528,0.0,C#,0.101,-5.134,Major,0.0287,143.921,4/4,0.315,9.571145380738853
World,Shane & Shane,41,0.202,0.557,228330,0.292,0.0,D,0.135,-11.631,Major,0.03,139.994,3/4,0.113,4.396521310071495
R&B,Alessia Cara,53,0.0169,0.556,208640,0.747,0.0,B,0.439,-4.568,Minor,0.0511,108.026,3/4,0.343,7.739159071868869
Hip-Hop,Yo Gotti,50,0.174,0.669,259507,0.534,0.0,C#,0.184,-7.479,Major,0.0643,135.056,4/4,0.666,13.791696135845406
Opera,Giuseppe Verdi,12,0.983,0.431,276026,0.0672,0.0,C,0.14,-17.529,Major,0.122,86.327,4/4,0.125,15.893168458171687
Jazz,Emancipator,40,0.287,0.603,462627,0.558,0.687,C#,0.101,-10.849,Minor,0.0406,149.991,4/4,0.327,8.938217167609652
Soul,The Japanese House,60,0.0406,0.519,162486,0.888,0.0,B,0.227,-6.232,Major,0.117,149.938,4/4,0.416,-1.0795400931041546
Jazz,Pearl Django,37,0.958,0.729,255933,0.28,0.818,A,0.108,-10.719,Minor,0.0344,98.883,4/4,0.316,10.583186289524876
Reggae,Darell,46,0.497,0.702,248427,0.57,1.49e-06,F,0.123,-5.113,Minor,0.13,143.761,4/4,0.307,7.580289307177712
Ska,The English Beat,19,0.242,0.458,190920,0.839,0.004,A,0.3,-11.012,Minor,0.0756,169.285,4/4,0.703,17.91981020176243
Children's Music,Redlight King,58,0.00274,0.589,198480,0.845,9.68e-05,G,0.0982,-5.237,Major,0.046,85.014,4/4,0.403,3.0016200188295863
Children's Music,Kimbo Children's Music,3,0.996,0.558,124160,0.184,0.96,D#,0.119,-23.276,Major,0.0963,127.378,3/4,0.573,13.761653113422014
Soundtrack,Ennio Morricone,26,0.907,0.166,144013,0.402,0.831,A#,0.0718,-8.54,Major,0.0315,66.122,3/4,0.0497,13.244971048762393
World,Eluvium,48,0.993,0.0814,198120,0.164,0.833,D,0.0997,-17.764,Major,0.0416,83.55,4/4,0.0313,3.1057851736894286
Electronic,Groove Armada,54,0.073,0.572,244707,0.992,0.00065,C#,0.18,-5.43,Major,0.233,129.997,4/4,0.472,4.626097865851392
Rap,2Pac,52,0.149,0.798,279067,0.703,1.77e-06,F#,0.0788,-4.136,Major,0.251,94.302,4/4,0.6,10.248617149155805
Ska,Bomb the Music Industry!,24,0.418,0.345,149653,0.347,0.00452,E,0.399,-8.578,Major,0.0406,110.954,3/4,0.108,14.391628355294742
Blues,"Albert Hammond, Jr.",36,0.0109,0.535,313707,0.864,0.665,F,0.104,-5.157,Major,0.0372,117.137,4/4,0.379,10.603287123714908
Opera,Giuseppe Verdi,22,0.985,0.295,455627,0.0598,0.0149,E,0.0633,-18.443,Major,0.0506,139.069,4/4,0.0581,11.365178402840035
Classical,Avantasia,48,0.00134,0.543,218615,0.93,5.93e-06,A#,0.235,-3.406,Minor,0.047,96.502,4/4,0.51,6.032763802224856
Alternative,Korn,48,0.395,0.558,49213,0.989,9.81e-05,C#,0.375,-5.041,Minor,0.158,83.071,4/4,0.635,9.04114932629246
Blues,White Denim,30,0.303,0.512,161200,0.855,0.000129,B,0.0881,-6.177,Minor,0.248,188.021,4/4,0.687,9.986946497793285
World,New Life Worship,28,0.104,0.374,557733,0.598,3.34e-05,B,0.164,-6.704,Major,0.0378,148.171,4/4,0.107,11.859447230636263
Children's Music,DaniLeigh,60,0.0621,0.384,163747,0.667,0.0,C,0.33,-8.126,Minor,0.516,187.767,4/4,0.72,5.019819003063998
Opera,Giuseppe Verdi,7,0.987,0.329,257333,0.112,0.000975,C#,0.0528,-20.691,Major,0.0914,83.577,4/4,0.0428,15.257626250285275
Ska,Don Drummond,27,0.567,0.856,174480,0.72,0.94,D,0.0501,-6.281,Minor,0.0778,132.459,4/4,0.852,10.65453434531905
Rock,Zac Brown Band,53,0.307,0.643,182133,0.685,0.0,D#,0.102,-6.696,Major,0.0869,143.957,4/4,0.405,13.488086455835136
Hip-Hop,Rick Ross,48,0.0446,0.574,223893,0.886,0.0,A#,0.394,-7.674,Major,0.449,142.244,4/4,0.281,13.979790247544264
Jazz,Alfa Mist,40,0.784,0.338,309000,0.394,0.387,G#,0.105,-11.692,Major,0.0861,159.447,4/4,0.294,9.198830267051592
Ska,Screeching Weasel,26,0.0161,0.494,200133,0.925,3.02e-05,G#,0.292,-5.564,Major,0.0404,153.948,4/4,0.83,13.19837820560934
Soundtrack,Alexandre Desplat,23,0.996,0.548,87640,0.0389,0.961,A#,0.123,-23.374,Major,0.305,171.085,4/4,0.932,15.09491001145134
Jazz,Norman Brown,29,0.326,0.466,239587,0.612,0.631,E,0.0793,-10.459,Minor,0.0389,104.224,4/4,0.386,14.092242320072645
Hip-Hop,88GLAM,56,0.0207,0.782,244827,0.678,3.22e-06,F#,0.103,-4.737,Minor,0.0968,150.107,4/4,0.576,9.983752300910018
Dance,Brian McKnight,71,0.542,0.649,263667,0.357,0.0,B,0.151,-9.09,Major,0.0307,129.798,4/4,0.241,-0.1882299774295646
Movie,Bruce Broughton,20,0.896,0.184,214440,0.269,0.868,A#,0.137,-16.068,Major,0.045,82.13,3/4,0.04,10.916282597797561
Folk,Anderson East,40,0.232,0.509,254547,0.322,0.0,B,0.418,-9.687,Major,0.0313,138.575,4/4,0.213,9.33975735493211
Dance,Juanes,62,0.425,0.602,249000,0.506,0.0,G#,0.125,-7.578,Major,0.024,95.006,4/4,0.531,9.320995814269045
Opera,Giacomo Puccini,27,0.977,0.297,271693,0.292,0.0196,F,0.671,-15.189,Major,0.058,77.341,4/4,0.337,5.4480140882137755
Electronic,Death In Vegas,33,0.792,0.392,333600,0.644,0.914,A,0.127,-14.835,Minor,0.128,125.006,3/4,0.321,8.724957670532907
Rock,Panic! At The Disco,58,0.0433,0.514,203613,0.933,0.0,E,0.832,-3.347,Minor,0.156,169.918,4/4,0.603,13.101074649775077
Dance,Wild Nothing,59,0.051,0.566,225893,0.8,0.0248,G,0.0668,-6.774,Major,0.0332,130.052,4/4,0.819,5.298548678301771
Classical,Chris Thile,27,0.927,0.591,308640,0.177,0.000331,A,0.0949,-15.729,Major,0.0373,111.766,4/4,0.279,8.93789724788301
Soul,ford.,46,0.641,0.586,211597,0.528,0.641,G#,0.128,-7.62,Minor,0.274,73.973,1/4,0.139,7.718519549122379
Soundtrack,Christophe Beck,53,0.975,0.334,95987,0.145,0.281,A,0.085,-14.682,Minor,0.0337,87.617,4/4,0.195,-0.6123721534657468
R&B,Biig Piig,49,0.663,0.791,185769,0.196,0.151,C,0.141,-13.271,Minor,0.466,136.903,4/4,0.186,6.945138177520886
Indie,The Front Bottoms,48,0.00561,0.641,214627,0.833,0.0,C,0.159,-4.327,Major,0.0326,138.144,4/4,0.559,12.474509847572294
Soundtrack,Brad Fiedel,24,0.762,0.349,111355,0.843,0.863,D#,0.125,-15.52,Minor,0.0464,114.767,3/4,0.18,10.416286275440504
Pop,Drake,60,0.153,0.559,264907,0.493,0.0,G,0.132,-7.467,Minor,0.296,154.182,4/4,0.214,13.060907526604696
Soundtrack,Howard Shore,29,0.043,0.0637,347038,0.371,0.939,C,0.165,-15.998,Major,0.0419,59.273,4/4,0.0398,12.12221438057423
Reggae,Jimmy Cliff,30,0.035,0.713,227733,0.46,0.0,D#,0.0715,-14.039,Major,0.0648,134.527,4/4,0.716,15.535178416798182
Classical,Zhen Chen,31,0.721,0.204,295915,0.275,0.295,E,0.0639,-11.685,Minor,0.0411,82.787,5/4,0.193,9.670646298182069
Comedy,Jim Gaffigan,36,0.798,0.581,277213,0.939,0.0,A#,0.866,-7.166,Major,0.935,112.355,3/4,0.201,3.1155163855981107
Rock,Conway Twitty,58,0.477,0.62,151731,0.711,0.000168,C#,0.0812,-6.943,Major,0.035,98.263,4/4,0.96,8.99712681339738
Opera,Richard Wagner,25,0.911,0.264,199960,0.161,0.000404,C#,0.0814,-21.961,Major,0.0413,129.821,5/4,0.138,11.900483473316832
Hip-Hop,Joey Bada$$,56,0.186,0.676,201818,0.763,1.92e-06,B,0.107,-7.604,Minor,0.198,87.967,4/4,0.624,11.651904281293591
Anime,Austin Wintory,13,0.839,0.513,169203,0.26,0.0446,D,0.146,-12.319,Major,0.0306,111.868,4/4,0.0368,13.737713848520116
Ska,MxPx,25,0.00606,0.307,145827,0.882,0.0,G,0.0896,-4.233,Major,0.108,105.714,4/4,0.713,11.45173270089404
Indie,AWOLNATION,56,0.12,0.667,217995,0.678,0.357,F#,0.152,-4.97,Major,0.0254,100.007,4/4,0.446,5.947100179460318
Electronic,DJ Snake,82,0.0771,0.652,205947,0.713,1.02e-05,G#,0.144,-5.311,Major,0.0368,100.023,4/4,0.152,-6.512104941367461
Electronic,Excision,37,0.00988,0.344,233600,0.894,0.00161,F#,0.171,-3.229,Major,0.0746,149.757,4/4,0.182,23.918470539759046
Anime,SILENT SIREN,23,0.113,0.65,221680,0.923,4.07e-06,G,0.117,-1.272,Major,0.078,160.064,4/4,0.845,13.68710297013712
Opera,Adolphe Adam,15,0.788,0.11,195746,0.0121,0.909,A#,0.102,-36.165,Major,0.0467,92.764,4/4,0.0362,21.32391674826495
Soundtrack,Nicholas Hooper,36,0.449,0.148,214933,0.13,0.766,F#,0.135,-28.488,Major,0.0446,139.944,4/4,0.0483,12.505300327860233
Reggae,Gomba Jahbari,43,0.0134,0.842,312013,0.726,0.00911,G,0.093,-5.682,Major,0.162,73.999,4/4,0.968,4.615177460925618
World,Boubacar Traoré,34,0.861,0.553,255373,0.496,0.746,C#,0.101,-11.048,Major,0.0392,107.188,4/4,0.789,8.024696334565263
Country,The Collingsworth Family,42,0.893,0.328,240027,0.179,1.42e-06,G#,0.116,-13.56,Major,0.0364,137.294,4/4,0.156,10.58574908583275
Reggae,R.K.M & Ken-Y,47,0.379,0.82,227747,0.659,0.0,A,0.164,-7.789,Major,0.0811,95.038,4/4,0.724,8.402076384482818
Pop,Troye Sivan,75,0.00407,0.701,204727,0.458,0.000151,C#,0.045,-7.749,Major,0.0836,102.967,4/4,0.482,5.629629532161161
Rap,Kid Cudi,50,0.153,0.756,260200,0.721,0.000626,A#,0.467,-7.879,Minor,0.0402,120.003,4/4,0.781,12.70464374578546
Hip-Hop,Warren G,64,0.0476,0.934,209413,0.562,1.31e-06,E,0.0608,-4.609,Minor,0.24,96.792,4/4,0.712,13.845393372058235
Children's Music,I DONT KNOW HOW BUT THEY FOUND ME,54,0.00135,0.518,203720,0.934,0.202,C,0.172,-7.082,Major,0.157,161.996,4/4,0.233,8.38250966458584
Indie,Vance Joy,78,0.431,0.484,204280,0.731,0.0,C#,0.151,-6.694,Major,0.0379,101.654,4/4,0.51,2.5640851345670703
R&B,Kelela,46,0.0492,0.669,195353,0.504,0.0,A,0.0855,-9.942,Major,0.0421,121.97,4/4,0.154,14.271225720722995
Opera,Giacomo Puccini,8,0.958,0.385,181387,0.182,0.00131,D,0.768,-18.746,Major,0.0721,132.808,4/4,0.255,19.70582123209627
Electronic,Tortoise,36,0.888,0.787,284667,0.416,0.84,A,0.312,-15.913,Minor,0.164,150.487,3/4,0.347,12.389419658965009
Comedy,Larry The Cable Guy,19,0.819,0.552,240267,0.873,0.0,F#,0.725,-8.066,Minor,0.951,165.987,4/4,0.299,11.126206462603543
Children's Music,Kimbo Children's Music,0,0.679,0.643,175680,0.43,8.75e-05,C,0.35,-10.656,Major,0.0573,142.924,4/4,0.943,23.873246575786016
Country,AIMP Nashville,47,0.171,0.528,232640,0.58,2.49e-06,C#,0.0875,-6.705,Major,0.039,144.008,4/4,0.222,8.629009820453724
Rock,Little Feat,51,0.18,0.626,271693,0.655,0.039,G,0.0434,-8.666,Major,0.0569,87.696,4/4,0.893,12.419092701010442
Blues,The Black Keys,48,0.00367,0.59,209680,0.808,0.0185,C,0.105,-6.034,Major,0.0365,125.669,4/4,0.374,8.501435575160022
Blues,John Lee Hooker,46,0.531,0.606,167360,0.191,0.000322,F,0.185,-18.647,Major,0.0649,201.304,3/4,0.665,7.691676038493978
Jazz,Karin Hammar,61,0.989,0.427,241200,0.0445,0.902,G#,0.112,-18.994,Major,0.0381,117.815,3/4,0.153,-0.31028726576411714
Jazz,Dave Brubeck,32,0.746,0.625,289853,0.483,0.000441,C,0.795,-16.063,Major,0.037,128.06,4/4,0.779,10.685387719855372
Anime,Rozen,12,0.912,0.199,144130,0.185,0.54,A#,0.137,-14.965,Major,0.0355,85.162,3/4,0.1,8.459178634655673
Country,Montgomery Gentry,41,0.00436,0.67,260133,0.823,0.000192,F,0.318,-10.592,Major,0.033,117.44,4/4,0.787,13.866324287132562
R&B,Charlie Burg,50,0.969,0.511,89072,0.114,0.00038,C,0.0887,-16.031,Major,0.0362,59.219,4/4,0.508,11.28128845173669
Reggae,Popcaan,34,0.375,0.614,226743,0.702,0.0,D,0.112,-5.654,Minor,0.256,107.883,4/4,0.546,10.220980183518757
Soul,Eric Benét,41,0.734,0.587,276987,0.351,0.0,A#,0.108,-6.434,Major,0.0314,110.06,4/4,0.46,14.25491107734968
Reggae,DrefQuila,55,0.425,0.665,199851,0.776,0.0,G,0.128,-4.568,Minor,0.146,125.051,4/4,0.44,7.006200598279534
Reggae,Aidonia,28,0.635,0.798,191608,0.954,0.0,E,0.234,-4.922,Major,0.0744,104.008,4/4,0.906,14.591410392672953
